domain,clean_domain
"1054.ton","1054"
"1055.ton","1055"
"1056.ton","1056"
"1057.ton","1057"
"1058.ton","1058"
"1059.ton","1059"
"1060.ton","1060"
"1061.ton","1061"
"1062.ton","1062"
"1063.ton","1063"
"1064.ton","1064"
"1065.ton","1065"
"1066.ton","1066"
"1067.ton","1067"
"1068.ton","1068"
"1069.ton","1069"
"1070.ton","1070"
"1071.ton","1071"
"1072.ton","1072"
"1073.ton","1073"
"1074.ton","1074"
"1075.ton","1075"
"1076.ton","1076"
"1077.ton","1077"
"1078.ton","1078"
"1079.ton","1079"
"1080.ton","1080"
"1081.ton","1081"
"1082.ton","1082"
"1083.ton","1083"
"1084.ton","1084"
"1085.ton","1085"
"1086.ton","1086"
"1087.ton","1087"
"1088.ton","1088"
"1089.ton","1089"
"1090.ton","1090"
"1091.ton","1091"
"1092.ton","1092"
"1093.ton","1093"
"1094.ton","1094"
"1095.ton","1095"
"1096.ton","1096"
"1097.ton","1097"
"1098.ton","1098"
"1099.ton","1099"
"1100.ton","1100"
"1101.ton","1101"
"1102.ton","1102"
"1103.ton","1103"
"1104.ton","1104"
"1105.ton","1105"
"1106.ton","1106"
"1107.ton","1107"
"1108.ton","1108"
"1109.ton","1109"
"1110.ton","1110"
"1111.ton","1111"
"1112.ton","1112"
"1113.ton","1113"
"1114.ton","1114"
"1115.ton","1115"
"1116.ton","1116"
"1117.ton","1117"
"1118.ton","1118"
"1119.ton","1119"
"1120.ton","1120"
"1121.ton","1121"
"1122.ton","1122"
"1123.ton","1123"
"1124.ton","1124"
"1125.ton","1125"
"1126.ton","1126"
"1127.ton","1127"
"1128.ton","1128"
"1129.ton","1129"
"1130.ton","1130"
"1131.ton","1131"
"1132.ton","1132"
"1133.ton","1133"
"1134.ton","1134"
"1135.ton","1135"
"1136.ton","1136"
"1137.ton","1137"
"1138.ton","1138"
"1139.ton","1139"
"1140.ton","1140"
"1141.ton","1141"
"1142.ton","1142"
"1143.ton","1143"
"1144.ton","1144"
"1145.ton","1145"
"1146.ton","1146"
"1147.ton","1147"
"1148.ton","1148"
"1149.ton","1149"
"1150.ton","1150"
"1151.ton","1151"
"1152.ton","1152"
"1153.ton","1153"
"1154.ton","1154"
"1155.ton","1155"
"1156.ton","1156"
"1157.ton","1157"
"1158.ton","1158"
"1159.ton","1159"
"1160.ton","1160"
"1161.ton","1161"
"1162.ton","1162"
"1163.ton","1163"
"1164.ton","1164"
"1165.ton","1165"
"1166.ton","1166"
"1167.ton","1167"
"1168.ton","1168"
"1169.ton","1169"
"1170.ton","1170"
"1171.ton","1171"
"1172.ton","1172"
"1173.ton","1173"
"1174.ton","1174"
"1175.ton","1175"
"1176.ton","1176"
"1177.ton","1177"
"1178.ton","1178"
"1179.ton","1179"
"1180.ton","1180"
"1181.ton","1181"
"1182.ton","1182"
"1183.ton","1183"
"1184.ton","1184"
"1185.ton","1185"
"1186.ton","1186"
"1187.ton","1187"
"1188.ton","1188"
"1189.ton","1189"
"1190.ton","1190"
"1191.ton","1191"
"1192.ton","1192"
"1193.ton","1193"
"1194.ton","1194"
"1195.ton","1195"
"1196.ton","1196"
"1197.ton","1197"
"1198.ton","1198"
"1199.ton","1199"
"1200.ton","1200"
"1201.ton","1201"
"1202.ton","1202"
"1203.ton","1203"
"1204.ton","1204"
"1205.ton","1205"
"1206.ton","1206"
"1207.ton","1207"
"1208.ton","1208"
"1209.ton","1209"
"1210.ton","1210"
"1211.ton","1211"
"1212.ton","1212"
"1213.ton","1213"
"1214.ton","1214"
"1215.ton","1215"
"1216.ton","1216"
"1217.ton","1217"
"1218.ton","1218"
"1219.ton","1219"
"1220.ton","1220"
"1221.ton","1221"
"1222.ton","1222"
"1223.ton","1223"
"1224.ton","1224"
"1225.ton","1225"
"1226.ton","1226"
"1227.ton","1227"
"1228.ton","1228"
"1229.ton","1229"
"1230.ton","1230"
"1231.ton","1231"
"1232.ton","1232"
"1233.ton","1233"
"1234.ton","1234"
"1235.ton","1235"
"1236.ton","1236"
"1237.ton","1237"
"1238.ton","1238"
"1239.ton","1239"
"1240.ton","1240"
"1241.ton","1241"
"1242.ton","1242"
"1243.ton","1243"
"1244.ton","1244"
"1245.ton","1245"
"1246.ton","1246"
"1247.ton","1247"
"1248.ton","1248"
"1249.ton","1249"
"1250.ton","1250"
"1251.ton","1251"
"1252.ton","1252"
"1253.ton","1253"
"1254.ton","1254"
"1255.ton","1255"
"1256.ton","1256"
"1257.ton","1257"
"1258.ton","1258"
"1259.ton","1259"
"1260.ton","1260"
"1261.ton","1261"
"1262.ton","1262"
"1263.ton","1263"
"1264.ton","1264"
"1265.ton","1265"
"1266.ton","1266"
"1267.ton","1267"
